conversation_id,tweet_id,text,timestamp,text_clean,cluster_id
conv_1241091,1241087,"@AmazonHelp No, no email updates to be found",2017-10-25T22:34:46+00:00,"No, no email updates to be found",16
conv_80659,80658,@AmazonHelp its not good,2017-11-30T13:39:11+00:00,its not good,10
conv_1519029,1519033,"@AmazonHelp Uno si es por amazon, otro bo",2017-11-03T20:18:49+00:00,"Uno si es por amazon, otro bo",1
conv_2424513,2424513,@AmazonHelp @115850 @115821 winner name please. Or just another fame quiz @144978 https://t.co/Isr5NK9FvT,2017-11-14T18:57:03+00:00,winner name please. Or just another fame quiz,12
conv_781974,781973,@AmazonHelp Do you think that I didn't tried that. I think local delivery boys promise means more than #amazon.,2017-10-13T13:30:51+00:00,Do you think that I didn't tried that. I think local delivery boys promise means more than #amazon.,1
conv_1655089,1655089,"@AmazonHelp I've been charged full price membership for prime and not the student price, how do I go about verifying my student status?",2017-10-17T14:33:48+00:00,"I've been charged full price membership for prime and not the student price, how do I go about verifying my student status?",5
conv_1529877,1529877,Dear @AmazonHelp  It feels  really devastating that once you promise something then you break it. I didn't get my cashback yet. See it. https://t.co/6mQg6QpQdc,2017-11-03T19:55:26+00:00,Dear It feels really devastating that once you promise something then you break it. I didn't get my cashback yet. See it.,10
conv_2151996,2152003,@AmazonHelp Thank you!! for delivering the product.,2017-11-29T08:57:00+00:00,Thank you!! for delivering the product.,15
conv_1576226,1576226,"@AmazonHelp First date given 12/10, next 16/10 failed by ur courier partner,that's ur business partner.",2017-10-17T06:33:29+00:00,"First date given 12/10, next 16/10 failed by ur courier partner,that's ur business partner.",10
conv_2061672,2061670,@AmazonHelp Sadly not! Even the van men said there should be two parcels and they couldn’t find it! It’s quite an important parcel and don’t want it to be lost!,2017-11-26T11:45:28+00:00,Sadly not! Even the van men said there should be two parcels and they couldn’t find it! It’s quite an important parcel and don’t want it to be lost!,12
conv_669169,669169,@279583 This is encouraging to hear. If only @AmazonHelp would respond to all of my emails about my stolen package from weeks ago. 🙄,2017-11-23T07:52:56+00:00,This is encouraging to hear. If only would respond to all of my emails about my stolen package from weeks ago. 🙄,10
conv_1713151,1713153,"@AmazonHelp Ingresé a la página, introduje mi correo electrónico, solicite que me enviaran el código y aun no recibo nada. Necesito ingresar a mi cuenta.",2017-11-08T23:40:12+00:00,"Ingresé a la página, introduje mi correo electrónico, solicite que me enviaran el código y aun no recibo nada. Necesito ingresar a mi cuenta.",7
conv_2906580,2906578,@AmazonHelp yes.  I'm not getting a verification code sent to my email.,2017-11-28T19:54:15+00:00,yes. I'm not getting a verification code sent to my email.,16
conv_2171704,2171706,@AmazonHelp Fire TV Stick with Alexa Voice Remote | Streaming Media Player https://t.co/AVCJNu0OmP,2017-10-19T14:06:04+00:00,Fire TV Stick with Alexa Voice Remote | Streaming Media Player,10
conv_1713130,1713132,@AmazonHelp This has been a horrible experience,2017-11-07T03:44:10+00:00,This has been a horrible experience,10
conv_490549,490549,"@AmazonHelp  Hey , had ordered some stuffs Amazon IN ; had received damaged stuff ,despite raising 3 complaint seller refuse to entertain the replacement of stuff.
If the packaging is the issue why am not eligible for a refund. THis is not my fault just because of Supplier issue",2017-12-01T16:21:41+00:00,"Hey , had ordered some stuffs Amazon IN ; had received damaged stuff ,despite raising 3 complaint seller refuse to entertain the replacement of stuff. If the packaging is the issue why am not eligible for a refund. THis is not my fault just because of Supplier issue",12
conv_930324,930324,"Hey @AmazonHelp!
Second delayed parcel in a row with Prime, and the best you can say is ""sorry""?
Should I read it as ""next time please order from sellers directly""?",2017-11-20T20:25:40+00:00,"Hey ! Second delayed parcel in a row with Prime, and the best you can say is ""sorry""? Should I read it as ""next time please order from sellers directly""?",18
conv_528222,528208,@AmazonHelp From amazon,2017-12-02T09:30:13+00:00,From amazon,1
conv_1727606,1727604,"@AmazonHelp And customer service says there is no way to contact. Need the order, not a refund. You guys can’t track drivers? Never again.",2017-10-17T19:04:53+00:00,"And customer service says there is no way to contact. Need the order, not a refund. You guys can’t track drivers? Never again.",11
conv_2881235,2881233,@AmazonHelp And I paid extra to get it delivered quickly,2017-11-28T10:28:19+00:00,And I paid extra to get it delivered quickly,4
conv_932281,932280,"@AmazonHelp Yeah that didn’t work, still have the items there showing as unavailable",2017-10-22T14:34:07+00:00,"Yeah that didn’t work, still have the items there showing as unavailable",10
conv_243227,243232,@AmazonHelp I've never had an issue getting an Amazon package from USPS.That's why I was frustrated I didn't get it yesterday &amp; now it's' saying (1/2),2017-10-05T15:30:09+00:00,I've never had an issue getting an Amazon package from USPS.That's why I was frustrated I didn't get it yesterday &amp; now it's' saying (1/2),1
conv_2171014,2171014,"Gracias @AmazonHelp y  a Brandit. Puntuales y muy fácil
Brandit chaqueta a Vento de hombre con funda de forro polar Mimetico scuro Small https://t.co/VEERKjGYGU",2017-11-09T12:39:16+00:00,Gracias y a Brandit. Puntuales y muy fácil Brandit chaqueta a Vento de hombre con funda de forro polar Mimetico scuro Small,10
conv_279670,279670,@AmazonHelp my COD delivery is held by your delivery service,2017-10-06T09:11:08+00:00,my COD delivery is held by your delivery service,14
conv_1133492,1133491,@AmazonHelp But it shows me 10 days after delivery seriously! Like I'm a prime member yaar!and you says that it'll take maximum 1 or 2 day delivery time,2017-10-15T16:16:01+00:00,But it shows me 10 days after delivery seriously! Like I'm a prime member yaar!and you says that it'll take maximum 1 or 2 day delivery time,14
conv_695901,695903,"@AmazonHelp Confirmation also says Friday but I ordered it under the pretence that the website said it would arrive today, otherwise I would have just gone to Tesco tomorrow to get it.",2017-11-23T16:55:53+00:00,"Confirmation also says Friday but I ordered it under the pretence that the website said it would arrive today, otherwise I would have just gone to Tesco tomorrow to get it.",12
conv_1755211,1755213,@AmazonHelp Yesterday. Can you have someone call me?,2017-11-07T19:55:31+00:00,Yesterday. Can you have someone call me?,10
