cluster_id,count,top_terms,representative_example_1,representative_example_2,representative_example_3,representative_example_4,representative_example_5
0,63,"update, team, parcel, morning, getting, guys, order, need, kindle, waiting parcel","@AmazonHelp Sorry, I'm in Canada. I have checked the tracking (both on Amazon.ca and the company) and there has been no update since Monday evening when it arrived at the warehouse. Called courier and left message for callback, as well as emailed and no response.","@AmazonHelp How is this not a simple fix? I preordered before beta keys existed, so just update the account so I can get the @116089 key","@AmazonHelp I haven't received any update from your team, I have emailed you the details many times,  you guys have the worst service",@AmazonHelp No update since last 4 days..The estimated shipping date has asli been crossed,@AmazonHelp a software update appears to have bricked my device. It completes this process and then loops. Has been like this for 2 hrs https://t.co/GND5VZPYR1
1,318,"amazon, amazon logistics, logistics, india, amazon india, item, sold, carrier, amazon pay, pay","@AmazonHelp Uno si es por amazon, otro bo",@AmazonHelp Do you think that I didn't tried that. I think local delivery boys promise means more than #amazon.,@AmazonHelp From amazon,@AmazonHelp I've never had an issue getting an Amazon package from USPS.That's why I was frustrated I didn't get it yesterday &amp; now it's' saying (1/2),"@115851 @AmazonHelp @115850 IS THERE ANY HEIGHT OF BEING SHAMELESS!!!

HAVE YOU FOUNDED AMAZON INDIA TO CHEAT AND HARASS INNOCENT PEOPLE OF INDIA??

WHY HAVE YOU NOT RESPONDED AND TAKEN ACTION ON MY COMPLAINTS AGAINST CHEATING AND HARASSMENT DONE BY AMAZON INDIA??"
2,131,"thanks, thanks help, help, just, link, ok, hi, issue, helpful, sent",@AmazonHelp Just received it !! Sorry and thanks 🙈,Here we go again with the monkeys at Dynamex / @137088 ... Late deliveries and crappy parcel handling.  Thanks @AmazonHelp for continuing to screw your customers with the worst courier.,"@AmazonHelp Thanks. So, in summary, your tracking system is not to be relied upon for accuracy?",@AmazonHelp Will check now thanks,@AmazonHelp Up and running well this week on phone and TV (via Xbox). Thanks.
3,187,"help, need help, need, hi, don, hey, amazon, pls, card, actually",@AmazonHelp Who was helping me when we got disconnected and I have had little help from call 2 or 3 other then a larger headache and a ugh to swear,"@AmazonHelp Please I need help, I do not know where I have my product.",@AmazonHelp hi i need help with recharging a yearly prime sub and i accidently bought it when i was gonna buy this free month subscription and i really need help,"@AmazonHelp hi guys, delivery given to neighbour despite notes on the order for where to leave packages. Neighbour not in and this is a present. Help please :(",@AmazonHelp Same thing you always reply. Not received any mail. @115851 please help initiating refund
4,206,"delivered, today, delivered today, package, says, says delivered, order, items, package delivered, order delivered",@AmazonHelp And I paid extra to get it delivered quickly,@AmazonHelp Fudging when things are actually delivered isn't smart these days. Cameras everywhere. Where is the data?,"@AmazonHelp Prime proving to be useless AGAIN. Order should have arrived today by 9PM, and there now “may be a delay”. Waited in all day as you said it was going to be delivered. Sort it out.",@AmazonHelp hello wondering where my package was? was supposed to be delivered today,@AmazonHelp absolutely appalled that so far I’ve waited two days for two parcels to be delivered via #primedelivery - where are my items?!
5,196,"prime, membership, prime membership, shipping, days, day, pay prime, prime member, pay, member","@AmazonHelp I've been charged full price membership for prime and not the student price, how do I go about verifying my student status?",@AmazonHelp y'all charged me twice for my prime membership ...,@AmazonHelp when u order something on prime on Thursday and still hasn’t arrived :/ if this is prime deffo won’t be signing up,@AmazonHelp @115850  why so you charge for prime when such a thing has to be done. It would have been better to buy things from a shop rather than ☹️,@AmazonHelp why do I have prime when I order prime items that take 3/4 days to get to me instead of next day???
6,149,"account, amazon account, amazon, email, bank, locked, bank account, password, prime, ve",@AmazonHelp @115830 can you please tell me why money has been taken from my account when I haven’t ordered anything?? 😤🤔,@AmazonHelp Even though my bank account is missing £79?! https://t.co/KLwR9vfeLv,Can @AmazonHelp advise me on what a £7.99 charge on my account will be for?,I've got £15 on my amazon account when I try and buy a psn card its asking me for my card details anyone know why ? @AmazonHelp,"@AmazonHelp I consider this my report. 
Don’t report things on forms anymore as my account really does get flagged for suspicious activity."
7,133,"que, la, el, por, lo, en, mi, si, pero, una","@AmazonHelp Ingresé a la página, introduje mi correo electrónico, solicite que me enviaran el código y aun no recibo nada. Necesito ingresar a mi cuenta.","@AmazonHelp os dejado una consulta en MD, cuando podais por favor echadle un ojo, gracias por todo :)","@AmazonHelp @132703 Además me mandan sms dándome 5 opciones, de las cuales, realmente solo me deja elegir la de recogida en agencia. Sinvergüenzas https://t.co/cDTWSArrR1","@AmazonHelp Aún no, en principio tiene aún una hora para llegar. Me quejo de la falta de información. Seur y compañía no son la panacea pero te marcan franjas de entrega!","@116928 @115821 @AmazonHelp Yo no estoy pagando el Prime para que me enviéis las cosas por la PUÑETERA SEUR, COÑO."
8,123,"did, reply, yes did, yes, time, delivery, amp, mail, told, waiting","@AmazonHelp So yesterday, you told me to contact you if my order hadn’t arrived today, I did so and you never replied. It seems like you’re ignoring me","@12339 Fooling @115850 and defaming the name of @115821. Why in the earth would I request ""Delay Delivery in customer's request""? @AmazonHelp  How did this happen without even contacting me? https://t.co/fjlix1w41y",@AmazonHelp yes I did that.,@AmazonHelp I did. I didn't get a different response. I got a few messages from seller support asking me to be patient. They just KEEP. INVESTIGATING. They're going to investigate forever. And they're going to keep charging me while they do it.,@AmazonHelp please can someone reply to me. Five replacement kindles and none of them work. I want to escalate this as far as possible now.
9,73,"amazon prime, prime, amazon, day, delivery, hi, prime account, paying, prime day, video",@AmazonHelp Then you should remove these Join Now options (in below images) from Amazon Prime app so no one will get confuse.. https://t.co/z6joqBOxOs,@AmazonHelp @amazonhelp tomorrow? I thought the point of paying for amazon prime was so it arrived the next day?,Amazon Prime video plays on my office internet and not home internet. How? What to do? @AmazonHelp,"@AmazonHelp hi, I have cancelled my amazon prime account but the payment has still been collected post cancellation. Help please","@AmazonHelp And again I was offered a redelivery for tomorrow. I can't do that, clearly paying for Amazon Prime is redundant when a big selling point cannot be fulfilled on the companies behalf of actually delivering items."
10,1799,"today, time, ve, dm, ordered, days, don, says, yes, ich",@AmazonHelp its not good,Dear @AmazonHelp  It feels  really devastating that once you promise something then you break it. I didn't get my cashback yet. See it. https://t.co/6mQg6QpQdc,"@AmazonHelp First date given 12/10, next 16/10 failed by ur courier partner,that's ur business partner.",@279583 This is encouraging to hear. If only @AmazonHelp would respond to all of my emails about my stolen package from weeks ago. 🙄,@AmazonHelp Fire TV Stick with Alexa Voice Remote | Streaming Media Player https://t.co/AVCJNu0OmP
11,150,"customer, service, customer service, care, customer care, worst, amazon, help, called, customer support","@AmazonHelp And customer service says there is no way to contact. Need the order, not a refund. You guys can’t track drivers? Never again.",@AmazonHelp How do I request that none of my packages are shipped via USPS if this is the type of delivery service and “customer service” I receive?,@AmazonHelp Don’t think your customer service is capable to be honest.,@AmazonHelp I contacted customer service and they have processed a refund for me. Lovely service! Thankyou ☺️,@AmazonHelp What is wrong with you ? You all are criminals who play with customer money!
