pattern,count,percentage,example_1,example_2,example_3
instructional,20614,42.08,@115831 I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: https://t.co/JzP7hlA23B ^SH,"@115834 Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: https://t.co/a31c4ynHES ^SG","@115834 The Echo Show is supported, please reach us for some live troubleshooting at your convenience: https://t.co/hApLpMlfHN ^DW"
acknowledgment,14450,29.49,@115831 I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: https://t.co/JzP7hlA23B ^SH,"@115834 Oh no, I'm sorry for the issues! For troubleshooting, please check out our Echo Help pages here: https://t.co/a31c4ynHES ^SG",@115835 I'm so sorry you didn't receive your parcel! We'd like a chance to look into this with you here: https://t.co/JzP7hlA23B ^SY
informational,11995,24.48,@115835 You can also request a call back here Martin https://t.co/zH8UlhTGcc ^KM,@115838 Provide your details here: https://t.co/6f6cWZv7vm and my team will escalate the order to Amazon Logistics for feedback. ^EZ,"@115842 Oh no! Please contact us via phone/chat here: https://t.co/JzP7hlA23B
We're unable to view order details via Twitter. ^KL"
order_details,8058,16.45,"@115838 Is there a current order you're having difficulties with? Please let us know, we'd like to help! ^KL",@115838 Provide your details here: https://t.co/6f6cWZv7vm and my team will escalate the order to Amazon Logistics for feedback. ^EZ,"@115842 Oh no! Please contact us via phone/chat here: https://t.co/JzP7hlA23B
We're unable to view order details via Twitter. ^KL"
account_details,6171,12.6,@116082 Hey Corey! Even on the new account you made you can turn of the auto renew through the same link ^SK posted for you. ^AJ,@116314 We're unable to view any account information via Twitter. What's the current tracking shown here: https://t.co/aaDyEz1VgE? ^AG,"@116322 I'm sorry for the frustration! Without giving account/personal details, can you please provide us with more info? ^AC"
tracking_request,6098,12.45,@115831 I'm sorry for the wait. Please reach out to us so we can take a closer look at this delivery: https://t.co/JzP7hlA23B ^SH,"@115849 Apologies for the delay in delivery of your order, James. We'd like to take a closer look. 1/2 ^HD","@116094 (2/2) Also, for your security, I'd recommend deleting the image, as it contains your tracking number. ^WT"
escalation,5301,10.82,@115838 Provide your details here: https://t.co/6f6cWZv7vm and my team will escalate the order to Amazon Logistics for feedback. ^EZ,@115849 Please report this to our support team here: https://t.co/TdDksLo6Mf and we'll look into this. 2/2 ^HD,@115849 Thanks for confirming that the details have been shared. Our team will give it a look and reach out shortly. ^AB
gratitude,3933,8.03,@115849 Thanks for confirming that the details have been shared. Our team will give it a look and reach out shortly. ^AB,@116085 Thanks for reaching out to us! You can find info on adding household members here: https://t.co/i3uumZzaok ^MO,@116849 Sorry you're having problems logging in. Please let us know which Amazon site you are using (.com .es). Thanks. ^SE
dm_request,1334,2.72,@116923 Thanks for the information. We've responded to your DM. ^GG,"@118083 Thanks for reaching out, Gemma! We have responded to your direct message. Please respond to us there! ^HM",@120030 Apologies for the mix-up.I’d like to help you; please fill this form: https://t.co/beaaDm0muc and I’ll contact you soon.^SC
return_mention,1047,2.14,@116095 I'm sorry you received an incorrect item. Have you checked out our return/replacement options here: https://t.co/FRsodhtXKJ? ^FJ,@119902 Sorry for the trouble while raising a return request. May I know if you have been asked to self return the item? ^SH,@119902 Was a pick up arranged on your order or were you asked to self-return it? Please tell us more. ^HK
resolution_confirm,936,1.91,"@116936 Prime shipping refers to transit time after your orders ship, in working days. Some orders require additional processing and handling. The delivery date shown at checkout is the most accurate.",@119796 I'm sorry for the stretch. We're working on this and we'll reach out to you soon with an update. Appreciate your cooperation. ^KH,"@120030 The details are already escalated to the team and we are working on it. Further, we've (1/2) ^GK"
refund_mention,897,1.83,@116082 Canceling your Prime membership can be done here:https://t.co/MlOxxuNX7N. You'll be shown your estimated refund there. ^SK,"@116318  We'd like to take a closer look into this refund for you. Please reach us at:https://t.co/JzP7hlA23B
 ^CC","@116318 I'm sorry you didn't receive the refund amount you expected. Please check here for more info: 
https://t.co/I5rEOyBt2k ^BT"
replacement_mention,444,0.91,@116095 I'm sorry you received an incorrect item. Have you checked out our return/replacement options here: https://t.co/FRsodhtXKJ? ^FJ,"@121404 I understand the gravity of the situation. As per the policy, we can offer only replacement (1/3)^HR",@121404 We only have a replacement only policy for damaged or defective mobile phones. 1/2 ^SB
