conversation_id,text,intent,label_source,resolved_candidate,resolution_score
conv_2714666,"@AmazonHelp My order was picked up, then the refund was put on halt as youll said, you have empty box, and now after 20 days, I am been told, I did not send correct product. This is clear fraud, and I need someone to look into this.",escalation_needed,rule_multi,True,2
conv_2955983,"@AmazonHelp I’m a prime member, I placed order 
204-3824623-4557900 last Thursday and it still hasn’t turned up. Should have been next day. Can you let me know what’s going on, please.",prime_subscription,rule_single,True,5
conv_2384353,How do I make a complaint @AmazonHelp ? Please provide an email address.,escalation_needed,rule_single,True,0
conv_1336221,yo @115821 @120533 @AmazonHelp etc j'ai pris un compte prime sans faire exprès comment je l'annule et je me fais rembourser,non_english,rule_multi,True,0
conv_2676414,@AmazonHelp can i have a phone number to complain i’m being harassed by your customer service team someone singing down the phone so weird,escalation_needed,rule_single,True,0
conv_2603068,@AmazonHelp Die Aktionsbedingungen für @117093 Gutschein 25FRESH sind nirgends zu finden. Das war jetzt eine gute Zeitverschwendung den Warenkorb zusammen zu stellen. https://t.co/PSqsuWqx2G,non_english,rule_single,True,0
conv_2710824,"@AmazonHelp my Echo Look doesn't seem to have the same functionality as the other Echo devices (Show, Dot, Tap, Echo 1st Gen) I own. For example, I can't get it to play song of the day, or to ""stop"" playing a song.  Is there a list of known differences for the feature set?",technical_device,rule_single,True,0
conv_515248,@115821 @AmazonHelp really knows how to treat its customers. They basically take your money even if you don’t receive your items,billing_payment,rule_single,True,2
conv_1212659,@AmazonHelp my parcel hasn't been delivered and no response se from amazon as to why!,escalation_needed,rule_multi,True,2
conv_776096,@AmazonHelp you guys sent me the wrong item now I gotta jump through hoops to return it to you. Not right.,refund_return,rule_conflict,True,1
conv_2347746,"Yoh @115830, I just got charged TWICE for a recent order... wtf. This is unacceptable. @AmazonHelp https://t.co/lYtzCIjuBl",billing_payment,rule_single,True,3
conv_903630,"@AmazonHelp as a heads up, I’ve made a complaint about your lack of help. Terrible service!",escalation_needed,rule_single,True,2
conv_276105,@AmazonHelp why would amazon gift card (balance zero) suddenly appear on my payments methods page? I’ve never had a gift card!,billing_payment,rule_single,True,1
conv_1751971,"@AmazonHelp Hi,im going to return something but having issues. 1) Hermes havent come@to collect. 2) I dont have the original Amazon box",refund_return,rule_single,True,0
conv_1298981,@115821 @AmazonHelp let's hope the replacement is here by tomorrow like I was attempting to request. No need for a prime membership for no orders.,refund_return,rule_multi,True,2
conv_1809330,"@AmazonHelp I reset the password to my account but it just says the password is incorrect please help
email- __email__",account_access,rule_single,True,1
conv_553318,@AmazonHelp how does an American send an Amazon gift card to a Canadian?,billing_payment,rule_single,True,0
conv_531591,This is way you deliver service to your customers @115821 @AmazonHelp @115850 you people don't value the customer just working for profits.  Some of your idiotic customer service associates make #makefakepromises https://t.co/nFeYpO1gsH,delivery_issue,rule_single,True,1
conv_1715276,"@AmazonHelp 
poorest response. awaiting pick up of return item since 23 Oct. Called thrice, false assurances. NO action till date. Shame https://t.co/svuy2Wdlv1",refund_return,rule_single,True,1
conv_283160,@AmazonHelp Dont buy anything from amazon be aware ur money choice is urs https://t.co/x26LjDE4bA,billing_payment,rule_single,True,1
conv_1266481,"@115850 @115821 @AmazonHelp order id 405-8926602-0613134  have recd damaged product.inspite of raising complaints,no action has been taken",order_problem,rule_single,True,1
conv_823147,@AmazonHelp I got sent the wrong thing and they lady I talked to on the phone made zero sense on how to get this corrected...,order_problem,rule_single,True,1
conv_824038,"I am not super impressed with @AmazonHelp I have UK kindle, and German Prime - I can't use my Prime on my UK kindle unless I buy 2x Prime",technical_device,rule_conflict,True,0
conv_343024,@122232 @AmazonHelp is there anybody there ? Yesterday’s parcel hasn’t arrived and neither has today’s 💩,delivery_issue,rule_single,True,1
conv_420405,"@115821 @amazonhelp My Amazon username is Dave Lampert, my account password is amazonsucks, my cell phone is (cont) https://t.co/vzy6MvXKCZ",account_access,rule_single,True,3
conv_2670714,@119625 @AmazonHelp @116935  thought #PrimeMusic will be launched this November as you told but No news about Amazon Prime music in India.? Any update?,prime_subscription,rule_single,True,0
conv_744147,@115850 @AmazonHelp 'Prime' and  kindle membership customer and 6 days to deliver a product. Not impressed guys https://t.co/5kMwUV7gTD,technical_device,rule_conflict,True,1
conv_1385276,"Hi @AmazonHelp my girlfriend just had her email changed without requesting it, how can we fix this issue given she can no longer log in?",account_access,rule_single,True,2
conv_2707603,"@AmazonHelp I placed an order at Amazon US but, almost 24 hours after that, I haven't been charged yet. Is something wrong with my payment method?",order_problem,rule_multi,True,2
conv_825532,"@AmazonHelp hey, I was locked out of my account and I can't seem to reach anyone who could help me with the issue.",account_access,rule_single,True,1
conv_570820,"@AmazonHelp I know I’m using a free trial of Amazon Prime, but this really doesn’t bode well for me renewing it after the trial ends. https://t.co/7Cdh5w4yZL",prime_subscription,rule_single,True,1
conv_2292689,please can I be sent your complaints procedures? @AmazonHelp  I refuse to speak to CS anymore and they refused to escalate my issues. #awfulservice,escalation_needed,rule_single,True,1
conv_415730,"@AmazonHelp If @123967 can't deliver packages, then don't use them.  They will only deliver if they can place package in a mailbox https://t.co/Q1oTwvx1mW",delivery_issue,rule_single,True,1
conv_2647206,@AmazonHelp Otra vez más fallando en la entrega con la compra en preventa... segunda vez en poco más de un mes... y esta vez sin explicación aparente... esperemos que el lunes llegue... aunque ya tarde...,non_english,rule_single,True,0
conv_124042,@AmazonHelp  Una pregunta. Cuento con una tarjeta Liverpool VISA. La aceptan ?,non_english,rule_single,True,1
conv_2283082,"@AmazonHelp I renewed my kindle monthly subscription &amp; it didn't get through 1st time 2nd time did, payment deducted twice, pay refund of199",prime_subscription,rule_conflict,True,0
conv_2291151,"@AmazonHelp Bonsoir, est-il possible d'avoir un suivi sur un colis, si ce suivi n'est pas présent dans nos commandes ? :)",non_english,rule_single,True,0
conv_2104295,@AmazonHelp where is my order ???.????.?.?...?.???????????????,order_problem,golden,True,4
conv_58750,@AmazonHelp who do I️ contact about my missing package,delivery_issue,rule_single,True,3
conv_343895,@AmazonHelp Hallo ich habe mir am 31 Juli Call of Duty WW2 bei Ihnen vorbestellt und da es nicht ankam am 3 und 4.11 habe ich es abbestellt,non_english,rule_single,True,1
conv_2885683,@AmazonHelp Worst support by team. @8105 I want to file a complaint against this company. Kindly help me,escalation_needed,rule_single,True,0
conv_1300124,"Thanks for closing my seller account, with absolutely no notification that it was going to happen, due to lack of inactivity. Jerks. Looks like eBay is the better choice. @115821 @AmazonHelp @4822 #Amazon @115937 #ebay",resolution_confirmation,rule_single,True,1
conv_323304,"@115850 @AmazonHelp order ending with 68349 , what is the refund status ? kindly help as executive committed over phone 2 resolve soon",refund_return,rule_single,True,4
conv_2667956,@AmazonHelp Hi I tried to login to Music but it showed me I need to transfer accounts to DE and then threw an error after I agreed https://t.co/zkpvpc20ts,account_access,rule_single,True,3
conv_1342620,"langsam wird es ärgerlich @AmazonHelp , dass ich in #Berlin #Tegel die #Prime Bestellungen nicht wie avisiert bekomme",non_english,rule_multi,True,0
conv_2004847,"@AmazonHelp j'ai besoin de votre aide à propos de ma commande, 407-3800686-5536347, elle est où?!",non_english,rule_single,True,0
conv_1680951,@115850 @AmazonHelp Added 1000rs in my Amazon wallet and even after half n hour still it is not added in my pay balance. Wht 2 do?,billing_payment,rule_single,True,0
conv_2293374,@AmazonHelp do your cust serv reps actually read complaint emails. I’m disgusted over how my complaint has been dealt with,escalation_needed,rule_single,True,1
conv_1721002,@AmazonHelp this is the third time this week you have sent me the wrong item. Getting fed up with it.,order_problem,rule_single,True,6
conv_264994,So @AmazonHelp: is there a way to know if a complaint re a botched delivery by you (&amp; fedex) was actually forwarded to someone who matters?,escalation_needed,rule_multi,True,0
conv_1353508,"@AmazonHelp hi, i recieved an email about amazon prime which i dont have &amp; was just wondering if u could tell me if it was real. Thanks https://t.co/9aVvu5omd2",prime_subscription,rule_single,True,2
conv_2297761,@AmazonHelp  already filed a charge back and resolution is that they are saying transaction number provided by you is not correct so claim is rejected and charge back claim closed now what the hell is this I want my money now @115851,billing_payment,rule_single,True,2
conv_339157,@116090 @AmazonHelp thank you for having the worst customer service. I have been waiting for my money since Sept 19th.,billing_payment,rule_single,True,1
conv_1396662,"@AmazonHelp Prime has been suspended. Updated payment method, still not working! Help.",prime_subscription,rule_conflict,True,1
conv_256695,"@AmazonHelp I got notification that ASIN: B00006LELP was removed because it is a ""card skimming device."" It's not. You should look it up.",billing_payment,rule_multi,True,2
conv_710604,"@AmazonHelp well, what a waste of time it was dealing with Amazon account specialist. 
Fraudulent activity on my acc. A copy n paste reply.",escalation_needed,rule_multi,True,1
conv_580642,"@AmazonHelp been waiting since 20th November for my order via prime, after 2 failed deliveries the book finally arrived and is ripped... https://t.co/Ey3uwHnSwP",prime_subscription,rule_single,True,3
conv_281936,"@115821 @115850 @AmazonHelp terrible service, mix-up and no response on a big-ticket item. I'm afraid for my INR 37k which is stuck with u",escalation_needed,rule_single,True,2
conv_1146965,@AmazonHelp bonjour je n’ai plus accès à mon compte !!!,non_english,rule_single,True,0
conv_1480801,"Unsicher wer mehr nervt @AmazonHelp oder @124285. Seid Wochen werden meine Bestellungen nicht mehr zugestellt sondern ""falsch vorsortiert""",non_english,rule_single,True,0
conv_1387723,"@AmazonHelp Hi guys, I got a replacement Kindle from you recently but the battery life is awful. Only lasts about 3-4 days, even w/o use?",refund_return,rule_multi,True,3
conv_1319912,@AmazonHelp : comme l'assistance en ligne comprends pas ce que je lui dis... #help https://t.co/J4p0us81O7,non_english,rule_single,True,0
conv_1566958,@AmazonHelp @115830 can you please tell me why money has been taken from my account when I haven’t ordered anything?? 😤🤔,billing_payment,rule_single,True,1
conv_536547,@AmazonHelp Hello. Was wondering where I can contact Amazon to make a complaint about Amazon logistics delivery. Thank you.,escalation_needed,rule_multi,True,2
conv_779275,Hallo @AmazonHelp wieso dauert in letzter Zeit Prime Versand trotzdem länger wie 2-3 Tage? Ich warte jetzt seit 4 Tagen auf ein Paket?!,prime_subscription,rule_single,True,0
conv_680395,"@AmazonHelp MWS Developer here. When I login it says ""Seller Account Closed"" due to inactivity. How to reopen?",account_access,rule_single,True,1
conv_1559311,"@ATVIAssist @AmazonHelp my pre order bonus code isn’t working it just says “Sorry, an unexpected error occurred” (WWII)",order_problem,rule_single,True,0
conv_1015653,@AmazonHelp Hi my account has been locked I have faxed my info as requested but account still locked and have no way of contacting amazon,account_access,rule_single,True,3
conv_1156683,"@AmazonHelp Bonjour quand je rentre un nouveau de passe pour me connecté ""vous avez changer votre MDP avec succès "",et après quand je me 1/2",non_english,rule_single,True,0
conv_183075,"@AmazonHelp
Talked regarding delivery delay issue worst experience. Unprofessional cs agent",delivery_issue,rule_single,True,0
conv_1580412,"@AmazonHelp Hey! Can't sign in or reset password. I don't get the code emails, and internet/email are all working. I'm in California.",account_access,rule_single,True,1
conv_300539,"@AmazonHelp Hi, I just recevied an order but the box is damaged, anything you can do ? Thanks !",order_problem,rule_single,True,2
conv_1572817,"@AmazonHelp Hello Team, Return order request has not been done yet. Please help. Urgent..",escalation_needed,rule_multi,True,0
conv_530016,@AmazonHelp good morning. Is it possible to get an hourly time for my delivery today? At the moment tracking says ‘before 8pm’!,delivery_issue,rule_single,True,3
