conversation_id,cluster_id,message_count,predicted_intent,prediction_method,first_customer_message,transcript,corrected_intent,entities,resolution,notes,annotator_id
conv_1336230,7,3,non_english,keyword,@AmazonHelp Hola!! Tiene problemas con la distribucion de W2? aun no envian y la pagina dice que no esta disponible. https://t.co/yDAI2zRfBg,"[2017-10-27T14:12:55] CUSTOMER: @AmazonHelp Hola!! Tiene problemas con la distribucion de W2? aun no envian y la pagina dice que no esta disponible. https://t.co/yDAI2zRfBg
[2017-10-27T14:22:35] SUPPORT: @431708 Lamento el inconveniente, por favor contacta nuestro SAC para verificar lo sucedido accesando: https://t.co/beR78zMMYB ^AZ
[2017-10-27T17:45:19] CUSTOMER: @AmazonHelp Y ahora esto!!! Que paso? Si sabian que no lo iban a poder tener en fecha, porque lo seguian poniendo en preventa, inclus",non_english,,unclear,,
conv_2395769,6,12,billing_payment,cluster_hint,I’ve got a list of customer service representatives that were meant to call me back ‘in 24hrs’ and yours is in red underlined @AmazonHelp.,"[2017-11-14T12:17:01] CUSTOMER: I’ve got a list of customer service representatives that were meant to call me back ‘in 24hrs’ and yours is in red underlined @AmazonHelp.
[2017-11-14T12:29:31] SUPPORT: @689665 I'm sorry for the frustration! We'd like to address your concerns. Without providing any personal or account information, can you tell us more about any issues you're having? ^CN
[2017-11-14T12:40:15] CUSTOMER: @AmazonHelp Account locked because of ‘pay with Amazon’ failing on another site",billing_payment,,unclear,,
conv_2276497,1,7,delivery_issue,keyword,@115830 @AmazonHelp I am a Prime member yet I am still waiting for my goods ordered on Thursday!!! So much for next day delivery - anyone else had the same problem? 👎🏽👎🏽👎🏽👎🏽,"[2017-11-11T17:23:42] CUSTOMER: @115830 @AmazonHelp I am a Prime member yet I am still waiting for my goods ordered on Thursday!!! So much for next day delivery - anyone else had the same problem? 👎🏽👎🏽👎🏽👎🏽
[2017-11-11T17:35:03] SUPPORT: @662096 I'm sorry your order still hasn't arrived! Has the delivery date changed from when you placed the order? ^VS
[2017-11-11T17:36:05] CUSTOMER: @AmazonHelp Yes it changed to today but it’s not making any difference is it?
[2017-11-11T17:38:50] SUPPORT: @6620",delivery_issue,{'product': 'Prime'},unclear,,
conv_1080696,2,2,technical_app,keyword,@115821 @AmazonHelp fix your jobfinder website. thanks,"[2017-10-15T01:11:54] CUSTOMER: @115821 @AmazonHelp fix your jobfinder website. thanks
[2017-10-15T01:46:00] SUPPORT: @374934 We'd like to help, if possible. Are you seeing an error? Please let us know more about what's going on. ^BH",technical_app,,unclear,,
conv_304556,12,7,technical_app,keyword,@AmazonHelp Hi. I've just come to list a duplicate DVD I have for sale— Do I now have to complete 'Selling Application for ASIN' each time?,"[2017-11-04T03:26:17] CUSTOMER: @AmazonHelp Hi. I've just come to list a duplicate DVD I have for sale— Do I now have to complete 'Selling Application for ASIN' each time?
[2017-11-04T03:56:51] SUPPORT: @188724 You can simply adjust the qty for duplicates. You must create a unique listing for each if the conditions/editions vary. ^SH
[2017-11-04T04:01:52] CUSTOMER: @AmazonHelp So I have to create a unique listing. Sold on amazon for years and confused by this. Could you explain further please? W",technical_app,,unclear,,
conv_2719416,15,6,billing_payment,keyword,@AmazonHelp @115850 Used to think highly of your company before you mixed up my order,"[2017-11-20T08:34:41] CUSTOMER: @AmazonHelp @115850 Used to think highly of your company before you mixed up my order
[2017-11-20T08:46:54] SUPPORT: @763153 Sorry to let you down, Rajdroh. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll get it checked for you. ^SY
[2017-11-20T09:24:00] CUSTOMER: @AmazonHelp I ordered luxury toilet rolls and you sent me autographed copies of my wife's book on Indira Gandhi
[2017-11-20T10:02:00] SUPPORT: @763153 I completely get your",billing_payment,,unclear,,
conv_500779,7,6,non_english,keyword,@AmazonHelp debería cuidar con quien trabaja. Aún no he recibido un envío que tenia que haber llegado el miércoles (ya no llega antes del lunes) porque @132703 miente diciendo que no estoy en casa (2 ,"[2017-12-01T19:37:42] CUSTOMER: @AmazonHelp debería cuidar con quien trabaja. Aún no he recibido un envío que tenia que haber llegado el miércoles (ya no llega antes del lunes) porque @132703 miente diciendo que no estoy en casa (2 entregas fallidas) https://t.co/c0R2JlJphO
[2017-12-01T19:40:32] CUSTOMER: @AmazonHelp @132703 Además me mandan sms dándome 5 opciones, de las cuales, realmente solo me deja elegir la de recogida en agencia. Sinvergüenzas https://t.co/cDTWSArrR1
[2017-12-01T19:42:00] ",non_english,{'product': 'Fire TV'},unclear,,
conv_637211,3,6,delivery_issue,keyword,@AmazonHelp This is after we've told all of our customer to buy us on Amazon and we've shipped several £1000 worth of stock to your warehouse.   Can you please help get us back online ASAP as we have ,"[2017-11-22T19:01:25] CUSTOMER: @AmazonHelp This is after we've told all of our customer to buy us on Amazon and we've shipped several £1000 worth of stock to your warehouse.   Can you please help get us back online ASAP as we have already lost several days worth of sales #PleaseHelp 2/2
[2017-11-22T19:08:28] SUPPORT: @271097 I'm sorry for the frustration! We're available to address this concern. At your convenience, please reach us here: https://t.co/Fluf443fne ^SJ
[2017-11-22T19:10:11] CUSTOME",delivery_issue,,unclear,,
conv_2725916,2,3,resolution_confirmation,cluster_hint,"Hey @AmazonHelp is it common practice for your drivers to open packages themselves in order to squeeze the product through the letter box (damaging it in the process?). Just happened to me, can DM pho","[2017-11-20T12:44:48] CUSTOMER: Hey @AmazonHelp is it common practice for your drivers to open packages themselves in order to squeeze the product through the letter box (damaging it in the process?). Just happened to me, can DM photos.
[2017-11-20T13:07:31] SUPPORT: @764459 Shaun, please contact us as soon as you have a moment, we would like to look into this with you:  https://t.co/JzP7hlA23B ^VF
[2017-11-20T13:14:59] CUSTOMER: @AmazonHelp Thanks for your reply. I’m speaking to one of your age",resolution_confirmation,,unclear,,
conv_1765200,9,4,delivery_issue,keyword,"@AmazonHelp Hi, ordered a book on Amazon prime yesterday and still not arrived today at 21.33.","[2017-11-07T21:33:38] CUSTOMER: @AmazonHelp Hi, ordered a book on Amazon prime yesterday and still not arrived today at 21.33.
[2017-11-07T21:38:01] SUPPORT: @530950 Hello Matt! Thanks for reaching out. You're able to find the status of your orders from Amazon here: https://t.co/aaDyEz1VgE ^TM
[2017-11-07T21:40:10] CUSTOMER: @AmazonHelp Thanks I know that. I wondered why it hasn’t been next day delivery if I paid for prime. I needed it today for a gift.
[2017-11-07T21:53:27] SUPPORT: @530950 I c",delivery_issue,{'product': 'Prime'},unclear,,
conv_179192,3,8,general_inquiry,cluster_hint,"@123583 Redeemed my @AmazonHelp preorder code on Sunday but just get ""Not available for purchase"" on #StarWarsBattlefrontIIBETA :(","[2017-10-04T08:58:13] CUSTOMER: @123583 Redeemed my @AmazonHelp preorder code on Sunday but just get ""Not available for purchase"" on #StarWarsBattlefrontIIBETA :(
[2017-10-04T08:59:44] CUSTOMER: @158243 @123583 @AmazonHelp Full restart of console/PC may help?
[2017-10-04T09:04:23] CUSTOMER: @158244 @123583 @AmazonHelp Sadly I’ve tried that a few times already. Checked website and through mobile app too. Thanks for the suggestion :) Much appreciated
[2017-10-04T09:17:00] SUPPORT: @158243 Hi Chris",general_inquiry,,unclear,,
conv_560337,2,2,billing_payment,keyword,"@AmazonHelp hi, I want to pay something with @AskPayPal on Amazon but can’t find that payment option. Can you tell me how to do it? Thanks!","[2017-12-01T14:46:12] CUSTOMER: @AmazonHelp hi, I want to pay something with @AskPayPal on Amazon but can’t find that payment option. Can you tell me how to do it? Thanks!
[2017-12-02T01:28:12] CUSTOMER: @AmazonHelp @AskPayPal Can you, Amazon? Or you can’t?",billing_payment,,unclear,,
